DVZ-001	SANDALIAS PLANAS ROJAS FLOR	125000	ZAPATOS					ROJAS	PLANAS	39	DIEGO VALDERRAMA	1	DIEGO VALDERRAMA		11477	
DVZ-002	SANDALIAS PLANAS NEGRAS DE LAZO	125000	ZAPATOS					NEGRAS	PLANAS	36	DIEGO VALDERRAMA	1	DIEGO VALDERRAMA		11559	
DVZ-002	SANDALIAS PLANAS NEGRAS DE LAZO	125000	ZAPATOS					NEGRAS	PLANAS	39	DIEGO VALDERRAMA	1	DIEGO VALDERRAMA		11559	
DVZ-002	SANDALIAS PLANAS NEGRAS DE LAZO	125000	ZAPATOS					NEGRAS	PLANAS	40	DIEGO VALDERRAMA	1	DIEGO VALDERRAMA		11559	
DVZ-003	SUECOS PLATATAFORMAS ALTAS ROJAS CON YUTE	160000	ZAPATOS					ROJAS	PLATAFORMA	35	DIEGO VALDERRAMA	1	DIEGO VALDERRAMA		11526	
DVZ-003	SUECOS PLATATAFORMAS ALTAS ROJAS CON YUTE	160000	ZAPATOS					ROJAS	PLATAFORMA	39	DIEGO VALDERRAMA	1	DIEGO VALDERRAMA		11526	
DVZ-004	SUECOS PLATATAFORMAS ALTAS DORADOS CON YUTE	160000	ZAPATOS					DORADOS	PLATAFORMA	38	DIEGO VALDERRAMA	1	DIEGO VALDERRAMA		11526	
DVZ-004	SUECOS PLATATAFORMAS ALTAS DORADOS CON YUTE	160000	ZAPATOS					DORADOS	PLATAFORMA	39	DIEGO VALDERRAMA	1	DIEGO VALDERRAMA		11526	
DVZ-005	SUECOS PLATATAFORMAS ALTAS DORADOS LAZO CON YUTE	160000	ZAPATOS					DORADOS	PLATAFORMA	37	DIEGO VALDERRAMA	2	DIEGO VALDERRAMA		10804	
DVZ-005	SUECOS PLATATAFORMAS ALTAS DORADOS LAZO CON YUTE	160000	ZAPATOS					DORADOS	PLATAFORMA	39	DIEGO VALDERRAMA	1	DIEGO VALDERRAMA		10804	
DVZ-005	SUECOS PLATATAFORMAS ALTAS DORADOS LAZO CON YUTE	160000	ZAPATOS					DORADOS	PLATAFORMA	40	DIEGO VALDERRAMA	1	DIEGO VALDERRAMA		10804	
DVZ-006	SANDALIAS ORO ROMANAS	145000	ZAPATOS					ORO	PLANAS	40	DIEGO VALDERRAMA	1	DIEGO VALDERRAMA		11275	
MCZ-001	PUNTAS AMARILLO	150000	ZAPATOS					AMARILLO	PUNTAS	37	MARI CRUZ	2	JACKELIN ACEVEDO		6362	
MCZ-001	PUNTAS AMARILLO	150000	ZAPATOS					AMARILLO	PUNTAS	38	MARI CRUZ	1	JACKELIN ACEVEDO		6362	
MCZ-001	PUNTAS AMARILLO	150000	ZAPATOS					AMARILLO	PUNTAS	39	MARI CRUZ	2	JACKELIN ACEVEDO		6362	
MCZ-001	PUNTAS AMARILLO	150000	ZAPATOS					AMARILLO	PUNTAS	40	MARI CRUZ	1	JACKELIN ACEVEDO		6362	
MCZ-002	PUNTAS NEGRAS	150000	ZAPATOS					NEGRAS	PUNTAS	37	MARI CRUZ	1	JACKELIN ACEVEDO		6165	
MCZ-003	PUNTAS DORADAS	145000	ZAPATOS					DORADOS	PUNTAS	37	MARI CRUZ	1	JACKELIN ACEVEDO		6361	
